company,date,description,location,title
JobShop,2023-02-07,"Greetings from JobShop, We are India's Largest BPO Recruitment Company. Please call us on 9964080000 or +918046115600 ,Whatsapp us on 9964080000 for simple & quick automated hiring 
  
Job description 
  
We are looking for process associate for International voice process who can interact with customers address their concerns, answer their questions and assist them with their needs. also who are able to join immediately 
  
Roles & Responsibilities:- • Listen to customers concerns, issues and questions. • Resolve customers concerns and answer customers questions to your best ability. • Maintain a positive attitude and calmly respond to customers complaints. • Open new customer accounts • Refer issues and questions to managers if necessary 
  
Qualifications:- - Graduate Freshers / Undergraduate with experience can apply - Excellent and fluent communication skills - 0.6 to 4 year Experience in Customer Support 
  
Additional Information:- - International Voice Process - 24*7 Rotational shift - 5 days working - Location – Bangalore – Manyata  
  
For More Details Please call us on 9964080000 or +918046115600 ,Whatsapp us on 9964080000 for simple & quick automated hiring",Bangalore/Bengaluru,Customer Service Executive (US Shifts) - Remote
Thoughtcircuits,2023-02-17,Urgent Opening for Bench Sales Recruiter Fresher - Vijayawada Interested Candidates Send their Updated Resume through WhatsApp : 7285949143 *Any Graduate & Post Graduate can applyFreshers can be preferredFreshers With BBA / MBA can be preferred,"Gudivada, Vijayawada, Guntur",Freshers- Bench Sales Recruiter - Immediate Joiners- No Remote
Capital Recruitment Services,2023-02-13,"Strong knowledge of front-end libraries/frameworks like React, Next.js.
Strong proficiency in developing performant systems. 
Experience in writing unit tests (JEST/ MOCHA/CHAI)Familiarity with Azure or AWS Cloud
Experience with CI/CD tools like Jenkins

For full detailed job description please share your cv at balajicrs01@gmail.comWork From Hom Option","Temp. WFH - Kolkata, Vijayawada, Visakhapatnam, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Work form Home fully remote job hiring React JS Developer
Capital Recruitment Services,2023-02-13,"Technically strong using Swift and SwiftUI
Strong understanding of Object-Oriented Programming, data structures, & design patterns such as MVC, MVVM or VIPER.
Leveraged native iOS features (Push Notifications &Local notification, Animations)Core Frameworks like Core Data, GCD, NSOperation Queue, Core Graphics, Core Animation, UIKit, AV Kit, AV Foundation.

If Interested please share your CV at balajicrs01@gmail.com","Temp. WFH - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Work form Home remote job hiring Senior iOS Developer
Grant Thornton,2022-08-17,"Partnership Filings (preferably Form 1065 or 8865),PE fund compliances At least 0 - 2 years of experience in US tax . Hands on experience on US tax return software s like Go-Systems,OneSource,Pro-systems etcExperience in resolving tax notices with IRS and State Tax department . . .",Permanent Remote,Consultant
Megamind Enterprises,2023-02-06,Working Mode - Work From HomeFreshers are Most WelcomeRequired :  . Good Typing Skills- 25-35 WPM . . Whats on Offer- . . .,"Temp. WFH - Pune, Ahmedabad, Trivandrum/Thiruvananthapuram",Fresher's/Experienced ! Data Entry Operator Needed ! Best Salary
GAO Tek,2023-02-01,"Software developers in C at various levels with a degree in electrical, electronics, telecom, automatic control or related field. We are a USA-based leading firm focusing on USA markets. High pay if you perform well.","Temp. WFH - Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Programming Engineers (Remote)- Full Time
Kingone,2023-02-15,"Urgently required Data Entry Operator, Computer Operator
Computer / Laptop Or Android Phone Is Compulsory.
Basic Computer Knowledge.
Freshers are Welcome
No Target
Full /Part-Time Jobs","Temp. WFH - Noida, Chandigarh, Visakhapatnam, Nagpur, Hyderabad/Secunderabad, Pune, Ahmedabad, Gurgaon/Gurugram, Chennai",Part-Time Data Entry Computer Operator/Home Based Work /Work@Home Jobs
New Path Web,2023-02-16,"Minimum 5+ years of hands on experience on Drupal Hands on experience on Drupal 8 or higher Experience building responsive websites using Drupal CMS,HTML / HTML5,CSS / CSS3,",Permanent Remote,Drupal Developer (Work From Home/Remote)
Capital Recruitment Services,2023-02-13,"Reach us@ balajicrs01@gmail.com Work From HomeSOLID design principles & Server Driven UI Architecture Experience adding FCM,Android & deep knowledge of HTTP protocol and Android Network libraries such as OkHttp & Volleyd App Links","Temp. WFH - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Work form Home Remote job hiring Android Application Developer
Compugain,2023-01-24,"Shift Timings: 7:30PM IST - 4:30AM IST . . Open Positions: 4 . . .  :  . . We are looking for a resource who has min (0-3)months of experience in Sales / Customer support. . . Experience Required: 0-6months . Candidate should have good communication skills in English,Arabic / Hindi Patient,helpful,empathetic,good listener & professional",Permanent Remote,Hiring For InsideSales Rep(Arabic/ Hindi Speaking)-Remote Position !!!
Hiringeye Solutions,2023-01-11,We are looking for recruiter internship who has really good communication skills and good attitude towards the work Internship duration is for 4 monthsWe will convert you as a full time employee based on your 4 months internship performance,Temp. WFH - Hyderabad/Secunderabad,Recruiter Internship Role- Remote Location
GAO Group,2023-01-24,"Virtual/remote sales, business development for a USA-based leading firm to sell its IT products to US customers. Potential with high pays.","Temp. WFH - Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","Remote/Virtual, Business Development Staff- (Full-time)"
Amarpadma Finance & Co.,2023-02-18,"Urgently required Data Entry Operator, Computer Operator
Computer / Laptop Or Android Phone Is Compulsory.
Basic Computer Knowledge.
Freshers are Welcome
No Target
No Work Pressure
Full /Part-Time Jobs

We also Freshers.","Temp. WFH - Ghaziabad, New Delhi, Delhi / NCR",Full/Part-Time Data Entry Operator Work@Home based job
Amarpadma Finance & Co.,2023-02-18,"Urgently required Data Entry Operator,Computer Operator 
Computer / Laptop Or Android Phone Is Compulsory.
Data Entry Operator,Basic Typing Speed
Basic computer knowledge 
No Target 
No Time Boundation","Temp. WFH - Noida, Gurgaon/Gurugram, Delhi / NCR",Work from Home/Part-Time/Home Based Data Entry Operator
Intelligent Life Inc,2023-02-11,"Bachelors Degree in Accounting or Finance (with advanced degree preferred but not required) You must have your own work environment setup- You must have a PC or Mac with a minimum of i5 processor or faster,4GB of ram or more,an internet connection with at least 10 Mbps download and 5 Mbps upload speed,a stable power backup,and a working webcam for this position",Permanent Remote,Ecommerce Merchandising Analyst (Remote/Work From Home)
Sunwells Oxygen India,2023-02-08,"Hiring Freelancers, Consultants for multiple skills below. Contract Duration: Staring 6 Months extend till One Year. Location: RemoteTiming; Gulf timing SKILLS: MDM DBA Informatica P360 Developer X2 Informatica C360 Developer X2 PIM Developer MDM Solution Architect (Informatica P360 and C360) Senior Consultants Informatica P360 x2 Linux Admin Consultant Consultant Informatica C360 Consultant PIM MDM Senior Consultant x2Interested please send your resumes",Permanent Remote,"Hiring Contract Remote freelancers, consultants For Multiple Skills!!!"
Jobs For Remote,2023-02-13,"Computer Data Operator/ Data Entry/ Back Office Executive
9 Hours Shift
Saturday & Sunday alternate week wise fix Off
Full Time Job
Freshers are Welcome
Maintaining the Data Excel, Worksheets.",Permanent Remote,DATA Entry/PART&FULL TIME/Computer Operator/WORK FROM Home/Back Office
Vikalp Life Care,2023-02-20,"Urgently required Data Entry operator,Computer Operator
Computer/Laptop or Android phone is Compulsory
Basic Typing Speed
Basic Computer knowledge
Fresher are welcome
No Target","Hybrid - Noida, Gurgaon/Gurugram, Delhi / NCR",DATA Entry/PART@FULL TIME/Computer Operator/WORK FROM Home/Back Office
Sprinto Technology,2023-02-10,Note - We are looking for a minimum of six months of internship 0-1 year of experience.Fluent English language skills,Permanent Remote,HR Intern - Remote
Capital Recruitment Services,2023-02-13,"Strong knowledge of scripting like EJS, JavaScript, Typescript and frameworks
Strong knowledge of Node frameworks like Express JS
Familiarity with JavaScript frameworks like Angular & React
Experience with CI/CD tools like JenkinsStrong proficiency in MySQL/MsSQL 
Experience in writing unit tests (JEST/ MOCHA/CHAI)

Send resumes at balajicrs01@gmail.com","Temp. WFH - Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Work from Home remote job For Node JS Developer
ServerGuy,2021-05-10,"Actively contribute to recruitment by preparing job descriptions,posting ads,and managing the entire hiring process . . . . . . . . . . . . . . . . Use social media,job boards,Internet sourcing,and other technical means to source candidates for open jobs . . . . . . . . . . . . . . . . Search and shortlist profiles based on minimum key skills required . . . . . . .",New Delhi,HR Recruiter (Remote)
Megamind Enterprises,2023-02-06,Candidates must have their own working Laptop / Computer/Mobile and,"Temp. WFH - Hyderabad/Secunderabad, Chennai, Coimbatore",Urgent Opening For Data Entry Operator - Fresher's/Experience Anyone
Thought circuits LLC,2023-02-02,Should be flexible to work in night shiftsInterested candidates can send Their Resume to - Vineeth (9924455492) *Any graduate can applyFreshers With BBA / MBA can be preferredFreshers can be preferred,Vijayawada,Us IT Bench Sales Recruiter- No Remote
Amarpadma Finance & Co.,2023-02-18,"Handle queries 
Good knowledge of computer 
Good organization and multi-tasking Abilities
Good communication skills","Temp. WFH - Noida, New Delhi, Delhi / NCR",Work@Home / Home Based Part-Time Work /Online Data Entry Operator
CACTUS Communications,2023-02-20,"According to this Gallup poll,37% of US employees already telecommute (work from home) - A Bachelors / Masters / PhD degree in any sub-specialization of Medicine or Life Sciences","Kolkata, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Editorial Reviewer: Medicine and Life Sciences (Work-from-Home)
Revival Info Solution,2023-01-31,"We are looking for Data Entry Operator
Any one can apply
Basic Computer Knowledge
Must Have Basic Typing Speed
Full Time and Part Time
Should be comfortable to work in day Flexible shifts
basic English speakingMS Word, MS Excel knowledge
Data Entry
immediate joining
Basic Knowledge Of Data Entry
excel work","Temp. WFH - Gurgaon/Gurugram, Delhi / NCR, Mumbai (All Areas)",Work from Home data entry/part-full time/backend/computer operator
Daveai,2023-01-03,"         Insert customer and account data by inputting text based and numerical information from source documents within time limits      Compile, verify accuracy and sort information according to priorities to prepare source data for computer entry      Review data for deficiencies or errors, correct any incompatibilities if possible and check output.      Research and obtain further information for incomplete documents      Apply data program techniques and procedures      Generate reports, store completed work in designated locations and perform backup operations.      Scan documents and print files, when needed      Keep information confidential      Respond to queries for information and access relevant files      Comply with data integrity and security policies       Pan india       ",Remote,Data Entry Associate
Work From Anywhere,2023-01-12,"In order to succeed in this role,you must have significant experience troubleshooting software in a previous role or otherwise relevant experienceYour mission is to help our photobooth owners succeed with their software,which means youll need significant experience troubleshooting and investigating software related issuesExperience with photography is a plus!",remote,Customer Experience - Technical Support Representative
Xfusion Technologies,2022-08-16,"Must be comfortable working in both India US (EST and PST shifts.)Candidates looking for a long-term stint would be preferredHe / she should be able to deliver results in a fast-paced environment that is metrics-driven Proficient in English Hands-on experience working on recruitments for State,counties,or federal agencies",Kolkata,IT Recruiters - REMOTE
GAO Tek,2023-02-13,"Tasks:  Tech/Digital marketing/customer/business support, programming.
A USA firm offers part time & remote/virtual interns toMBA, M.Sc., M.Eng, university students, housewives, freshers. Benefits include 3 certificates & a job offer.","Temp. WFH - Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR",Business Development Internship- Virtual/Remote
Willis Towers Watson (WTW),2023-02-18,"Skills - UK Pension,calculation,defined benefit & Defined contribution . . Should have people management skills and relevant experience in Pension calculation",Permanent Remote,Opening For Manager (UK Pensions) - WTW (Remote)
Agile Airport Services,2023-01-30,"Open to work in rotational shift or any shift timings as requiredMinimum 60% aggregates in 10th,12th and AME Good communication skills  Collaborative approach,Good Interpersonal skills",remote,Associate Technician
Gupshup Technology,2022-11-25,"  Reach out to potential clients through various channels and generate qualified opportunities by various prospecting/researching methodologies.    Do research on companies, leads and build an effective sales pipeline.    Strike & initiate conversations with the target audience of accounts you are prospecting.    Drive top-of-the-funnel lead generation for Regional Sales Directors.    Update and manage all sales activities, opportunities, and account information in SFDC.    Consistently achieve a monthly quota of qualified leads & build a strong pipeline.   ",remote,Inside Sales Associate
APS Webtech,2023-01-30,"We are looking for an experienced and passionate PHP | WordPress Developer to join our IT team! As a PHP | WordPress Developer at  company, you will be responsible for both back-end and front-end development,WordPress themes and plugins.",Permanent Remote,Wordpress  Developer  (Remote ) | APS Webtech
